id_aluno;ano;genero;idade;anos_na_pm;instituicao;fase;fase_ideal;defasagem;inde;pedra;IAA;IEG;IPS;IPP;IDA;IPV;IAN;nota_mat;nota_por;nota_ing;qtd_avaliadores;defasagem_prox;inde_prox;fase_prox;var_defasagem;var_inde;risco
RA-1077;2023;M;11,0;0;Pública;2,0;2,0;0,0;7,2115;Ametista;0,0;9,7;2,52;8,75;7,3;8,4225;10,0;6,8;7,8;;3,0;0,0;5,543865740733334;3,0;0,0;-1,6676342592666664;0
RA-1079;2023;M;12,0;0;Pública;2,0;3,0;-1,0;6,916533333;Ágata;9,0;8,1;2,52;7,083333333;7,6;7,13;5,0;7,3;7,8;;3,0;0,0;5,4253413299333335;3,0;1,0;-1,4911920030666668;0
RA-108;2022;F;17,0;3;Pública;4,0;7,0;-3,0;5,547;Quartzo;4,6;7,7;5,0;;5,0;6,125;2,5;3,0;5,8;6,2;4,0;-2,0;4,9308;5,0;1,0;-0,6162000000000001;0
RA-1081;2023;F;14,0;0;Pública;2,0;4,0;-2,0;7,666033333;Ametista;10,0;10,0;2,52;8,958333333;6,5;8,59;5,0;8,0;5,0;;3,0;0,0;8,5452952381;4,0;2,0;0,8792619050999999;0
RA-1082;2023;F;12,0;0;Pública;2,0;3,0;-1,0;7,1617;Ametista;9,5;9,5;2,52;8,75;5,0;8,4225;5,0;3,5;6,5;;3,0;-1,0;6,6114857142;2,0;0,0;-0,5502142858000001;0
RA-1084;2023;F;11,0;0;Pública;2,0;2,0;0,0;7,9948;Ametista;8,4;10,0;2,52;8,75;6,8;8,38;10,0;5,0;8,5;;3,0;0,0;6,9071109649333335;3,0;0,0;-1,0876890350666661;0
RA-1087;2023;F;12,0;0;Pública;2,0;3,0;-1,0;7,2067;Ametista;10,0;9,5;2,52;8,75;5,4;8,0475;5,0;3,7;7,0;;3,0;0,0;6,913936532;3,0;1,0;-0,2927634679999995;0
RA-1089;2023;F;11,0;0;Pública;2,0;2,0;0,0;7,9947;Ametista;9,0;9,5;2,52;8,75;7,0;8,3375;10,0;6,0;8,0;;3,0;0,0;7,6221531746;3,0;0,0;-0,3725468253999997;0
RA-109;2022;M;16,0;1;Privada - Parceira;4,0;6,0;-2,0;8,512;Topázio;8,8;10,0;8,8;;8,4;8,667;5,0;7,8;7,5;9,9;4,0;-1,0;8,3184;6,0;1,0;-0,1936;0
RA-1090;2023;M;13,0;0;Pública;2,0;3,0;-1,0;7,844033333;Ametista;9,0;9,6;2,52;8,958333333;9,0;7,88;5,0;8,7;9,3;;3,0;0,0;7,7652831384;3,0;1,0;-0,07875019459999955;0
RA-1093;2023;M;11,0;0;Pública;2,0;2,0;0,0;8,197533333;Topázio;7,0;9,3;2,52;8,958333333;9,2;8,2975;10,0;9,3;9,0;;3,0;0,0;8,5079027778;3,0;0,0;0,3103694447999992;0
RA-1094;2023;F;11,0;0;Pública;2,0;2,0;0,0;8,1779;Topázio;7,8;9,5;2,52;8,75;8,5;8,3375;10,0;7,8;9,2;;3,0;0,0;8,0164785714;3,0;0,0;-0,16142142859999886;0
RA-1095;2023;M;13,0;0;Pública;2,0;3,0;-1,0;6,238;Ágata;0,0;9,8;2,52;8,75;5,3;8,005;5,0;5,8;4,7;;3,0;0,0;6,108547514666667;3,0;1,0;-0,1294524853333332;0
RA-1096;2023;F;10,0;0;Pública;2,0;2,0;0,0;8,615533333;Topázio;9,5;9,9;2,52;8,958333333;9,6;8,0875;10,0;9,5;9,7;;3,0;1,0;9,189883333333334;3,0;1,0;0,5743500003333342;0
RA-1097;2023;M;14,0;0;Pública;2,0;4,0;-2,0;6,9547;Ágata;9,5;8,6;5,0;8,125;5,4;6,96;5,0;4,3;6,5;;3,0;-1,0;5,475324895633334;3,0;1,0;-1,4793751043666656;0
RA-1098;2023;F;13,0;0;Pública;2,0;3,0;-1,0;7,2787;Ametista;9,5;9,5;2,52;8,125;6,4;7,92;5,0;6,3;6,5;;3,0;0,0;6,5744562514;3,0;1,0;-0,7042437485999997;0
RA-1099;2023;F;13,0;0;Pública;2,0;3,0;-1,0;7,113533333;Ametista;9,0;9,6;2,52;8,333333333;5,2;8,34;5,0;5,7;4,7;;3,0;0,0;7,332483333333334;3,0;1,0;0,21895000033333378;0
RA-110;2022;M;14,0;5;Privada - Parceira;4,0;4,0;0,0;8,15;Topázio;9,2;9,7;5,6;;6,7;8,0;10,0;8,3;5,7;6,0;4,0;0,0;8,0879;5,0;0,0;-0,06210000000000093;0
RA-110;2023;M;15,0;6;Privada - Apadrinhamento;5,0;5,0;0,0;8,0879;Topázio;8,3;8,6;5,0;8,75;7,5;8,2975;10,0;8,3;6,2;8,0;4,0;0,0;8,6324939394;5,0;0,0;0,5445939394000003;0
RA-1100;2023;M;11,0;0;Pública;2,0;2,0;0,0;8,261033333;Topázio;10,0;9,2;5,0;8,541666667;7,1;8,283333333;10,0;6,3;7,8;;3,0;1,0;6,649708333333334;3,0;1,0;-1,6113249996666665;0
RA-1102;2023;M;11,0;0;Pública;2,0;2,0;0,0;8,123033333;Topázio;9,5;9,5;5,0;7,708333333;7,5;7,56;10,0;5,7;9,2;;3,0;1,0;8,440611904733334;3,0;1,0;0,3175785717333337;0
RA-1103;2023;M;10,0;0;Pública;2,0;2,0;0,0;7,574866667;Ametista;9,0;8,7;5,0;8,333333333;5,0;8,006666667;10,0;4,5;5,5;;3,0;0,0;7,861995031000001;2,0;0,0;0,28712836400000086;0
RA-1106;2023;M;12,0;0;Pública;2,0;3,0;-1,0;7,1642;Ametista;8,5;9,3;5,0;8,333333333;5,1;8,003333333;5,0;5,2;5,0;;3,0;0,0;5,936272086266667;3,0;1,0;-1,2279279137333328;0
RA-1107;2023;F;12,0;0;Pública;2,0;3,0;-1,0;7,9327;Ametista;9,0;9,4;5,0;8,958333333;7,5;8,783333333;5,0;8,0;7,0;;3,0;0,0;5,9731;3,0;1,0;-1,9596;0
RA-1108;2023;M;12,0;0;Pública;2,0;3,0;-1,0;6,310833333;Ágata;0,0;9,3;5,0;8,541666667;4,7;8,283333333;5,0;3,7;5,7;;3,0;0,0;6,017215010400001;3,0;1,0;-0,29361832259999865;0
RA-111;2022;F;13,0;2;Privada - Parceira;4,0;3,0;1,0;8,646;Topázio;7,5;9,4;8,1;;8,0;8,667;10,0;6,7;7,5;9,7;4,0;1,0;7,566458333;5,0;0,0;-1,0795416670000009;0
RA-111;2023;F;14,0;3;Privada - Apadrinhamento;5,0;4,0;1,0;7,566458333;Ametista;7,5;8,7;5,0;7,65625;6,0;8,0875;10,0;6,0;5,2;6,7;4,0;0,0;8,667693939400001;5,0;-1,0;1,1012356064000013;0
RA-1111;2023;F;11,0;0;Pública;2,0;2,0;0,0;6,559166667;Ágata;0,0;8,9;2,52;8,125;5,4;8,173333333;10,0;4,8;6,0;;3,0;1,0;6,116032815733334;3,0;1,0;-0,4431338512666665;0
RA-1112;2023;M;12,0;0;Pública;2,0;3,0;-1,0;7,088866667;Ametista;9,5;7,9;2,52;8,333333333;6,3;8,616666667;5,0;5,2;7,3;;3,0;0,0;6,856082394;3,0;1,0;-0,23278427299999915;0
RA-1114;2023;F;11,0;0;Pública;2,0;2,0;0,0;7,5667;Ametista;8,5;9,8;2,52;8,125;4,9;8,56;10,0;4,3;5,5;;3,0;0,0;7,437466666666667;3,0;0,0;-0,12923333333333265;0
RA-1115;2023;F;11,0;0;Pública;2,0;2,0;0,0;6,474;Ágata;0,0;8,3;7,52;7,5;4,0;7,56;10,0;6,0;2,0;;3,0;0,0;6,570068686900001;2,0;0,0;0,0960686869000007;0
RA-1116;2023;M;13,0;0;Pública;2,0;3,0;-1,0;6,956533333;Ágata;9,5;9,2;5,0;7,083333333;4,9;7,39;5,0;3,8;6,0;;3,0;-1,0;3,7894777778;3,0;0,0;-3,1670555552;0
RA-1117;2023;F;11,0;0;Pública;2,0;2,0;0,0;8,382366667;Topázio;9,0;9,6;7,52;7,708333333;7,3;7,946666667;10,0;6,0;8,5;;3,0;1,0;7,601562962866668;3,0;1,0;-0,7808037041333318;0
RA-1118;2023;F;12,0;0;Pública;2,0;3,0;-1,0;7,163833333;Ametista;5,3;8,8;7,52;7,708333333;6,0;8,28;5,0;4,8;7,2;;3,0;0,0;7,0305545924;3,0;1,0;-0,13327874060000067;0
RA-1119;2023;F;13,0;0;Pública;2,0;3,0;-1,0;7,192;Ametista;7,3;9,7;3,77;7,708333333;5,9;8,453333333;5,0;3,0;8,8;;3,0;-1,0;7,388266666666667;3,0;0,0;0,19626666666666726;0
RA-112;2022;F;15,0;6;Privada - Parceira;4,0;5,0;-1,0;7,836;Ametista;7,9;7,8;6,3;;8,5;8,833;5,0;9,0;7,5;9,1;4,0;-1,0;7,141308333;5,0;0,0;-0,6946916670000007;0
RA-112;2023;F;16,0;7;Privada - Apadrinhamento;5,0;6,0;-1,0;7,141308333;Ametista;6,7;8,1;5,0;7,96875;7,4;7,9225;5,0;7,3;6,5;8,3;4,0;0,0;8,052609920666667;6,0;1,0;0,9113015876666672;0
RA-1121;2023;M;11,0;0;Pública;2,0;2,0;0,0;8,049;Topázio;0,0;9,9;6,26;8,75;8,0;9,84;10,0;6,5;9,5;;3,0;0,0;8,407166666633334;3,0;0,0;0,3581666666333341;0
RA-1122;2023;M;11,0;0;Pública;2,0;2,0;0,0;7,3715;Ametista;0,0;9,3;6,89;7,291666667;6,9;8,616666667;10,0;5,2;8,5;;3,0;1,0;7,817322222166666;3,0;1,0;0,4458222221666661;0
RA-1127;2023;F;11,0;0;Pública;2,0;2,0;0,0;8,3167;Topázio;8,5;9,9;5,02;8,125;6,9;9,01;10,0;5,0;8,7;;3,0;0,0;8,180966666666668;3,0;0,0;-0,1357333333333326;0
RA-1129;2023;M;11,0;0;Pública;2,0;2,0;0,0;7,309333333;Ametista;0,0;9,2;6,27;7,916666667;7,8;7,503333333;10,0;6,8;8,7;;3,0;0,0;7,360417647066668;3,0;0,0;0,051084314066668135;0
RA-1130;2023;M;11,0;0;Pública;2,0;2,0;0,0;8,0037;Topázio;8,5;8,4;7,52;7,708333333;7,3;7,503333333;10,0;6,3;8,2;;3,0;0,0;6,563952941199999;3,0;0,0;-1,439747058800001;0
RA-1131;2023;F;12,0;0;Pública;2,0;3,0;-1,0;8,316133333;Topázio;7,9;9,9;5,02;8,75;9,1;9,286666667;5,0;8,3;9,8;;3,0;0,0;8,2889555555;3,0;1,0;-0,02717777750000039;0
RA-1133;2023;F;10,0;0;Pública;2,0;2,0;0,0;8,600033333;Topázio;9,5;10,0;6,27;8,541666667;6,5;9,343333333;10,0;5,0;8,0;;3,0;1,0;8,238553968266668;3,0;1,0;-0,36147936473333253;0
RA-1134;2023;M;11,0;0;Pública;2,0;2,0;0,0;7,769866667;Ametista;8,0;9,7;3,76;7,916666667;6,8;7,56;10,0;5,5;8,0;;3,0;0,0;7,7564571427;3,0;0,0;-0,013409524299999198;0
RA-1136;2023;F;13,0;0;Pública;2,0;3,0;-1,0;6,7351;Ágata;6,8;8,1;2,52;8,333333333;6,6;7,723333333;5,0;4,8;8,3;;3,0;-1,0;5,458179831866667;3,0;0,0;-1,2769201681333326;0
